Strain	Type	Accension	Host1	Location	A0	Year	Subtype	Host2	Group
REF_EU139840_A_swine_Minnesota_00194_2003_H1N2_Swine_98B_2003	REF	EU139840	swine	Minnesota	194	2003	H1N2	Swine	98B
REF_KM198692_A_swine_Iowa_00239_2004_H1N1_Swine_Classical_2004	REF	KM198692	swine	Iowa	239	2004	H1N1	Swine	Classical
REF_CY158851_A_swine_Kansas_00246_2004_H1N2_Swine_98B_2004_02_05	REF	CY158851	swine	Kansas	246	2004	H1N2	Swine	98B
REF_EU735820_A_turkey_Ohio_313053_2004_H3N2_Avian_02_2004	REF	EU735820	turkey	Ohio	313053	2004	H3N2	Avian	
REF_CY099037_A_swine_Minnesota_01146_2006_H3N2_Swine_02B_2006_05_25	REF	CY099037	swine	Minnesota	1146	2006	H3N2	Swine	02B
REF_CY099029_A_swine_Iowa_01700_2007_H3N2_Swine_02_2007_07_31	REF	CY099029	swine	Iowa	1700	2007	H3N2	Swine	
REF_EU604690_A_swine_OH_511445_2007_H1N1_Swine_Classical_2007	REF	EU604690	swine	Ohio	511445	2007	H1N1	Swine	Classical
REF_HM461844_A_swine_Iowa_02096_2008_H1N1_Swine_Classical_2008	REF	HM461844	swine	Iowa	2096	2008	H1N1	Swine	Classical
REF_HM461788_A_swine_Kentucky_02086_2008_H1N1_Swine_Classical_2008	REF	HM461788	swine	Kentucky	2086	2008	H1N1	Swine	Classical
REF_HM461764_A_swine_Minnesota_02053_2008_H1N1_Swine_Classical_2008	REF	HM461764	swine	Minnesota	2053	2008	H1N1	Swine	Classical
REF_HM461796_A_swine_Minnesota_02093_2008_H1N1_Swine_Classical_2008	REF	HM461796	swine	Minnesota	2093	2008	H1N1	Swine	Classical
REF_HM461812_A_swine_Missouri_02060_2008_H1N1_Swine_Classical_2008	REF	HM461812	swine	Missouri	2060	2008	H1N1	Swine	Classical
REF_HM461836_A_swine_Nebraska_02013_2008_H1N1_Swine_Classical_2008	REF	HM461836	swine	Nebraska	2013	2008	H1N1	Swine	Classical
